"Id","Username","Password","Firstname","Lastname","Phone","Email","IsReviewer","IsAdmin"
"25","Jsnaga15","J@RrIn(4945","Joshua","Snaga","775-890-1409","jsnaga97@hotmail.net","0","1"
"26","Jazog13","B(Ief(ngs3782","Justin","Azog",,,"0","1"
"27","Tbard973","r!MIsS5676","Tara","Bard","270-352-8296","tbard71@bizmail.biz","0","0"
"28","Hdori34","R^alIsti@aLly7931","Hanna","Dori","772-741-0300","hdori5@everymail.us","0","1"
"29","Sgrishnakh2681","mar^iN#lly2445","Steven","Grishnakh",,"sgrishnakh@hotmail.net","0","0"
"30","Anienor25","buTTe)eD3543","Alisa","Nienor",,"anienor84@mailbox.biz","0","0"
"31","Wgaldor17","pUrV*yoR3341","William","Galdor","209-185-7020",,"0","0"
"32","Jalatariel7197","^!nS3709","Jerry","Alatariel",,"jalatariel60@bizmail.biz","1","0"
"33","Mgil-galad936",")U!2485","Melanie","Gil-Galad","847-514-3648","mgil-galad@mail2u.us","0","0"
"34","Ttook5715","Co%sEnTed6300","Terry","Took","628-858-5776",,"1","1"
"35","Dgamgee2151","relega$e2474","Debra","Gamgee","326-240-3743","dgamgee15@everymail.biz","1","1"
"36","Jolorin14","RAn(omness9241","Joe","Olorin","740-167-7055","jolorin@mail2u.org","0","0"
"37","Jnarvi782","eM$rEss3201","Julia","Narvi","320-176-4389",,"0","1"
"38","Wbalin5699","s%r@wY4597","Wayne","Balin","301-702-0631","wbalin@mailbox.net","0","0"
"39","Eartanis2255","^amBert9028","Eugene","Artanis","743-010-4233","eartanis99@gmail.biz","0","1"
"40","Cgorbag598","s(On#oR5330","Christian","Gorbag","415-461-4799","cgorbag89@mail2u.biz","1","0"
"41","Kecthelion758","^aNY6221","Karen","Ecthelion","586-284-6333","kecthelion36@bizmail.co.uk","0","0"
"42","Eturgon57","!atheM%TiCaLly5915","Erik","Turgon","708-419-8829","eturgon@hotmail.org","1","1"
"43","Jberen1825","black^Ir)2218","Jenny","Beren","616-911-3853","jberen76@yahoo.us","0","0"
"44","Agaldor9639","Ima#in(8782","Averie","Galdor",,"agaldor24@gmail.biz","1","0"
"45","Dfili33","isa@AH2065","Dorothy","Fili","917-210-7734","dfili77@bizmail.org","0","0"
"46","Jgothmog1484","%a)CouVeR7039","Jaime","Gothmog",,"jaime.gothmog95@yahoo.org","1","0"
"47","Sgoldberry2464","INterMediAr$es3912","Sierra","Goldberry","814-350-6809","sgoldberry19@yahoo.net","1","0"
"48","Mkhamul175","ConvI*tIOn1699","Makenzie","Khamul","308-389-9913","mkhamul0@somemail.us","1","0"
"49","Celentari1186","n^#iNg2278","Claire","Elentari","681-534-3754","celentari@bizmail.biz","1","0"
"50","Adeagol112","@i@Ing3845","Audrey","Deagol","978-519-0198","adeagol26@mailbox.co.uk","0","1"
"51","Hangrod9718","$*To3604","Harold","Angrod","572-412-3854","harold.angrod72@bizmail.co.uk","0","0"
"52","Bbombadil188","F)ld1964","Brian","Bombadil",,,"0","1"
"53","Ggamgee4812","sE)%ctions6228","Gabriella","Gamgee","445-017-1622",,"0","1"
"54","Hfili235","Ch^IrpErsoN3089","Helena","Fili","719-723-9504","hfili@gmail.us","1","0"
"55","Eyavanna911","#bjEctionabLe8204","Elijah","Yavanna","989-173-0616","eyavanna@somemail.us","0","1"
"56","Wamrod64","%tatIonery6220","Willie","Amrod","754-962-7056",,"0","1"
"57","Hartanis15","#)sed4196","Haley","Artanis","618-172-2315","hartanis68@yahoo.co.uk","0","1"
"58","Itulkas2139","TrIm#4257","Isaiah","Tulkas","254-046-3433","itulkas6@mail2u.co.uk","1","1"
"59","Aceleborn25","^r%S5357","Anthony","Celeborn",,"aceleborn@somemail.net","1","1"
"60","Jisildur188","iNjur)S4656","Jesse","Isildur","770-774-4680","jesse.isildur25@somemail.biz","0","0"
"61","Epippin5518","guaRDiaN$9884","Erika","Pippin","930-309-6744",,"1","0"
"62","Afinrod7819","he*dhu)tErS5700","Alexandra","Finrod","541-613-4176","afinrod49@everymail.us","1","1"
"63","Aelwing896","conscI!NtiouS9218","Albert","Elwing","539-619-2807",,"0","1"
"64","Kgorbag929","e$vIS4896","Kyle","Gorbag","646-709-6289","kgorbag@somemail.biz","0","0"
"65","Sleaflock719","dIsT)rt9706","Sean","Leaflock",,,"0","1"
"66","Jsulimo35","ProB)EM1699","Judy","Sulimo","309-888-4381",,"0","1"
"67","Mbregolas4284","cataS!r)phe9561","Mackenzie","Bregolas","931-773-4200","mbregolas@yahoo.net","1","1"
"68","Efinwe25","bo#ND!d1465","Eva","Finwe","812-342-4177","efinwe28@somemail.net","1","0"
"69","Rbalin2699","BrAv!4637","Ralph","Balin","364-079-3173",,"1","0"
"70","Jluthien971","Gra#Uates1274","Jason","Luthien","513-569-4134","jluthien96@mail2u.co.uk","0","1"
"71","Lnumenor4429","(rO%eS5852","Lawrence","Numenor","321-699-4901","lnumenor19@gmail.org","1","0"
"72","Jamrod254","aR@Or3004","Joseph","Amrod",,"jamrod24@somemail.net","0","1"
"73","Gannatar9558","!nvitatiONAl6316","Gloria","Annatar","408-224-0941","gannatar53@bizmail.co.uk","0","1"
"74","Churin22","toW$$S6149","Claudia","Hurin","872-390-0315","claudia.hurin26@somemail.org","1","0"
"75","Jnob112","n%eDlesS2897","Jason","Nob","479-427-7941",,"0","0"
"76","Phurin5768","suPercompu^Er3484","Paul","Hurin","612-369-2754",,"0","0"
"77","Ashelob72","prO#E6531","Aaron","Shelob",,"ashelob89@hotmail.org","0","0"
"78","Dglaurung819","hO*S1802","Doris","Glaurung",,"doris.glaurung3@everymail.org","0","0"
"79","Jilluvatar8699","fR!gmENtS1387","Justin","Illuvatar",,,"1","1"
"80","Bstrider6738","*ublIcat)ons7351","Brenda","Strider","205-386-7958","bstrider71@everymail.org","1","0"
"81","Lgorbag1963","*O(mendED2137","Lucas","Gorbag","983-014-9305","lucas.gorbag21@everymail.org","1","0"
"82","Ahamfast37","@Ick^t2319","Alicia","Hamfast","640-358-9882","ahamfast24@hotmail.com","0","0"
"83","Mleaflock27","#I1969","Magdalena","Leaflock","267-596-6136","magdalena.leaflock19@mailbox.com","0","0"
"84","Vbrandybuck1665","pEri(hEry7358","Vivianna","Brandybuck","214-264-6407",,"1","0"
"85","Mtheoden3681","in(ErrUpting6296","Miranda","Theoden",,"mtheoden82@yahoo.biz","1","0"
"86","Jpharazon56","$PseTs6290","Jewel","Pharazon",,"jpharazon35@bizmail.us","0","0"
"87","Dvarda6718","quIZze$1399","Danica","Varda","934-744-5514","dvarda76@somemail.us","1","1"
"88","Jgimli128","pla)Bac#2054","Janice","Gimli","720-937-9384","jgimli38@hotmail.co.uk","0","1"
"89","Avalaquenta127","nEg(tivIty6597","Allison","Valaquenta","828-554-9564","avalaquenta67@hotmail.biz","0","1"
"90","Dalatariel614","wAteR!7190","Delilah","Alatariel","970-868-7419","delilah.alatariel49@everymail.com","0","1"
"91","Wbracegirdle7722","k%Al(1711","William","Bracegirdle","251-096-2655","william.bracegirdle23@bizmail.co.uk","0","0"
"92","Jmerry29","dev^seS7187","Jason","Merry","901-931-5022","jason.merry7@bizmail.org","0","1"
"93","Jorodreth6387","iNd(cEs2315","Jacqueline","Orodreth",,"jorodreth72@somemail.net","0","1"
"94","Cwormtongue778","e^It6779","Camilla","Wormtongue","573-876-4955","cwormtongue35@everymail.us","0","1"
"95","Manarion65","(Utu^ES3193","Miranda","Anarion","442-966-4510",,"0","0"
"96","Bmaglor821","@EsultEd1436","Beverly","Maglor",,"beverly.maglor35@mail2u.co.uk","0","1"
"97","Abarahir514","s#afoO^7622","Andrea","Barahir","336-006-8409","abarahir54@gmail.co.uk","0","1"
"98","Tyavanna718","BuNgA#^w6403","Tiffany","Yavanna","571-728-1899","tyavanna52@mailbox.co.uk","0","0"
"99","Ldori742","mUl^*NG5696","Larry","Dori","539-952-6299","ldori73@mailbox.com","0","0"
"100","Chelm hammerhand91","ReTRaiNi(g1692","Christian","Helm Hammerhand",,"chelmhammerhand79@everymail.net","1","1"
"101","Sancalagon28","st)anDinG3080","Susan","Ancalagon","559-910-8433","susan.ancalagon@everymail.com","0","1"
"102","Selbereth89","^ORdi$n8951","Savannah","Elbereth","806-494-4324",,"0","0"
"103","Tbergil2234","C)@pt8324","Terry","Bergil",,"terry.bergil@gmail.co.uk","0","0"
"104","Jlorien61","exPlosiv@S9398","Joshua","Lorien","508-285-8682",,"1","1"
"105","Jmaggot93","pho(pHAtE8502","Jose","Maggot","216-600-7890",,"0","1"
"106","Bhuor4115","Inj!cT4184","Betty","Huor","308-931-7246","bhuor6@everymail.us","1","1"
"107","Enienna56","!AmBDa3750","Elijah","Nienna",,,"1","1"
"108","Dcurufin9966","C*ntra*IzE4433","Danica","Curufin","573-173-8895","dcurufin90@yahoo.com","1","0"
"109","Lbrandybuck4829","EN!ightened3710","Lori","Brandybuck","571-264-0357","lbrandybuck62@yahoo.net","1","1"
"110","Smaglor53","N$cess$rY3945","Shirley","Maglor","408-436-4151",,"1","0"
"111","Rerkenbrand729","C(azI%y9813","Ralph","Erkenbrand","971-478-1300",,"1","0"
"112","Afingon579","SIG*aliNg5807","Alexander","Fingon","448-325-6576",,"0","0"
"113","Selladan12","CoNcer(I%g7779","Sophie","Elladan","308-591-8122","selladan72@bizmail.com","0","1"
"114","Dfaramir15","%I1006","Dennis","Faramir","719-587-2452",,"0","0"
"115","Dfili532","op$qUE1945","Denise","Fili",,"denise.fili13@somemail.co.uk","1","0"
"116","Mnienna65","HOo^Ed6437","Mark","Nienna","228-730-7284",,"1","1"
"117","Lgimli2177","reSideN#iaL2380","Leo","Gimli","254-520-1887","lgimli5@hotmail.net","1","1"
"118","Jelrond4548","!andem%niUM4225","Jacqueline","Elrond","419-092-6906",,"1","1"
"119","Cshagrat3279","$tRu!glIng8343","Carol","Shagrat",,,"0","0"
"120","Sdwalin3958","P!Lp7470","Scott","Dwalin","941-425-6298","sdwalin@mailbox.co.uk","1","1"
"121","Garwen1452","aPpRe*^iCe1684","Gregory","Arwen",,"gregory.arwen33@somemail.co.uk","0","0"
"122","Adraugin4229","!OndeM%6315","Alyssa","Draugin","326-207-0023",,"0","1"
"123","Amaglor73","$HeCkMate8752","Angelica","Maglor","419-030-9911","amaglor@somemail.org","0","0"
"124","Kmaggot29","*haMPa$ne8768","Kylie","Maggot","708-937-7385",,"0","0"
"125","Earagorn445","reS!AtemeNt8456","Ethan","Aragorn","717-474-2198",,"0","1"
"126","Kgaldor3417","enLigh(enment6288","Kathryn","Galdor",,"kgaldor59@somemail.biz","0","0"
"127","Gilluvatar6898",")atErfRont4624","Gregory","Illuvatar",,,"0","1"
"128","Faragorn86","po*ulaRity6058","Freya","Aragorn","878-757-9460","faragorn59@yahoo.co.uk","1","1"
"129","Mleaflock998","grow%H5006","Michael","Leaflock","580-609-8416","michael.leaflock@mail2u.us","0","0"
"130","Ehuan538","P@nc%l1013","Ellen","Huan","331-330-8300","ehuan38@gmail.org","0","1"
"131","Keol8558","*ed)uMs7732","Katrina","Eol",,"keol@everymail.biz","1","0"
"132","Cgamgee796","F^eeIng8470","Catherine","Gamgee","561-979-5095","cgamgee36@hotmail.us","0","1"
"133","Ncarcharoth4881","Par*Y8947","Niki","Carcharoth",,"ncarcharoth84@mailbox.co.uk","1","1"
"134","Jkhamul448","Und)RpiNnEd3634","Jose","Khamul","509-646-5658",,"0","0"
"135","Elurtz3163","speC@alIT$es2547","Eleanor","Lurtz",,"elurtz11@yahoo.us","1","1"
"136","Ggandalf1749","tI$htnesS2927","Gabriel","Gandalf","220-309-3762","ggandalf@mailbox.com","0","0"
"137","Jdwalin49","ROll@d4749","Janet","Dwalin","323-236-2466","jdwalin60@yahoo.biz","1","0"
"138","Mgildor2179","JES*s3276","Marishka","Gildor","769-002-9651","mgildor63@somemail.org","1","1"
"139","Relbereth681","EndUR@*5029","Ruth","Elbereth","980-118-6015","relbereth21@yahoo.net","0","1"
"140","Jleaflock498","re^eals7484","Jessie","Leaflock","440-579-4599","jleaflock7@mailbox.org","0","0"
"141","Asilmiril511","R!d6844","Albert","Silmiril","818-727-6221","asilmiril14@hotmail.org","0","0"
"142","Pgorbag185","fe)tEr6878","Philip","Gorbag","206-262-7915","pgorbag49@mailbox.org","0","0"
"143","Sgoldberry61","p#cKinG6154","Sara","Goldberry","253-908-8643","sgoldberry40@mail2u.us","0","0"
"144","Risildur969","^mPty8953","Robert","Isildur",,,"0","0"
"145","Jfimbrethil86","^iG1184","Jack","Fimbrethil","843-533-2106",,"1","0"
"146","Damros63","A@T6959","Dale","Amros",,"damros45@bizmail.org","1","1"
"147","Dingwe8327","de(ocRaC@2448","Donna","Ingwe","209-142-6616","dingwe@mail2u.co.uk","1","1"
"148","Jgamling1961","reveR!ing1935","Julia","Gamling","414-950-0820","julia.gamling81@mail2u.com","1","1"
"149","Rbaggins3279","prac$Icality5251","Russell","Baggins","909-046-4990","rbaggins@everymail.com","1","0"
"150","Bingwe914","%oM@ounDed6628","Benjamin","Ingwe","680-381-7109",,"1","0"
"151","Bulmo3952","f(us^raTES3452","Betty","Ulmo","952-655-2929","bulmo46@mail2u.co.uk","0","0"
"152","Apippin9657","DeP%r#3350","Audrey","Pippin","435-804-4836","apippin@everymail.biz","0","1"
"153","Jsharku1532","*Ak!7737","Joan","Sharku","657-087-3197","joan.sharku@everymail.org","1","1"
"154","Gberen38","i*cursiOns6786","Gabbi","Beren",,"gabbi.beren34@hotmail.biz","0","1"
"155","Kfimbrethil731","OCcupa$^s3763","Kayla","Fimbrethil","616-207-1563","kfimbrethil72@yahoo.us","0","1"
"156","Apharazon72",")ra!K7191","Abigail","Pharazon","213-544-2822",,"1","1"
"157","Jbeorn749","c#mplemEntEd8770","Justice","Beorn",,,"1","0"
"158","Alurtz28","@OoF3943","Angie","Lurtz","516-900-1960",,"1","0"
"159","Raragorn612",")SPeranto7724","Raven","Aragorn","313-345-8867","raragorn48@yahoo.us","0","0"
"160","Afangorn489","F#Nd@rs8444","Angelique","Fangorn","564-901-1077","afangorn27@yahoo.us","0","0"
"161","Jgamling32","asthM#TiCs2387","Jack","Gamling","909-808-6246","jgamling98@somemail.com","0","1"
"162","Hbregalad4681","%a)ES7065","Haley","Bregalad",,"hbregalad@everymail.com","1","1"
"163","Dbolg434","a#igNMen%s6610","Danica","Bolg","351-859-7719","dbolg65@bizmail.us","1","0"
"164","Cecthelion921","aRe@A4019","Carolina","Ecthelion",,"cecthelion24@hotmail.us","1","0"
"165","Ddenethor46","UndeRse!l6713","Denise","Denethor","724-526-1084","ddenethor@yahoo.net","0","1"
"166","Knimloth323","!umaNi)y2464","Kate","Nimloth","727-875-9260","knimloth99@gmail.co.uk","1","0"
"167","Kmaedhros91","hydRoGe^9735","Kelly","Maedhros","347-423-2301","kelly.maedhros26@hotmail.us","0","1"
"168","Ehelm hammerhand142","Plat!*rM3141","Elizabeth","Helm Hammerhand","305-766-0926","ehelmhammerhand@somemail.biz","0","0"
"169","Lfinarfin97","r)MO^el6305","Leah","Finarfin",,"lfinarfin13@gmail.org","0","0"
"170","Efimbrethil3862","TappIN!5526","Elizabeth","Fimbrethil","407-195-9814","elizabeth.fimbrethil95@somemail.org","1","1"
"171","Lquickbeam294","vuLgaR%ty8615","Logan","Quickbeam","628-659-2613",,"0","1"
"172","Gcotton5614","(Essen8688","Gerald","Cotton","839-477-1210","gcotton@hotmail.net","0","1"
"173","Wgaldor52","Balloo!s5689","Willie","Galdor","820-356-1762","willie.galdor26@somemail.net","0","0"
"174","Ttelchar7891","T^Te7051","Thomas","Telchar",,"ttelchar85@hotmail.us","0","0"
"175","Bazog9198","N!^cY6281","Brittany","Azog","414-874-9054","brittany.azog38@gmail.us","1","0"
"176","Kangrod3259","s$aSh$d8066","Katie","Angrod","667-134-0237","kangrod22@yahoo.co.uk","1","0"
"177","Gnazgul63","fR@CTiOn2532","Gregory","Nazgul","508-420-5270",,"0","1"
"178","Hnumenor691","cou^T)ouS2841","Helena","Numenor",,"hnumenor88@hotmail.biz","1","0"
"179","Jnessa67","dissatiSfie@3960","Jacob","Nessa","559-488-2695",,"1","0"
"180","Kelros69","^iG)5309","Karl","Elros","804-471-5460","kelros@mail2u.com","1","1"
"181","Dgollum3195","PA^e(7719","Douglas","Gollum",,"dgollum83@yahoo.us","0","1"
"182","Rtelchar71","JO*7240","Robert","Telchar","415-989-0128","rtelchar76@mailbox.biz","0","0"
"183","Kfangorn273","Co%Ie@s9203","Kevin","Fangorn","501-076-6673","kfangorn70@mailbox.org","1","1"
"184","Rthorondor3743","w%thstANd4074","Ryan","Thorondor",,"rthorondor@yahoo.org","1","0"
"185","Joakenshield5581","$OerCe9566","Juan","Oakenshield","629-590-4807","joakenshield@mail2u.com","1","0"
"186","Wbombadil52",")Ibberi(h3412","Walter","Bombadil","917-821-7540","walter.bombadil@yahoo.biz","0","1"
"187","Celbereth34","^i@liNE2566","Cynthia","Elbereth","706-234-2249","celbereth@everymail.com","0","0"
"188","Lelmo12","coUpLin!7868","Larissa","Elmo",,"lelmo4@yahoo.net","1","1"
"189","Aancalagon5585","tRainE*7195","Amanda","Ancalagon","765-009-0731","aancalagon10@yahoo.com","0","1"
"190","Jbifur341","T*r4065","Judith","Bifur","762-921-8900","jbifur98@yahoo.co.uk","1","1"
"191","Jhador2195","ChaR(ers3642","Juliet","Hador","502-791-1781",,"0","1"
"192","Lshadowfax1316","*EavE!inG1324","Lauren","Shadowfax",,"lshadowfax96@somemail.com","0","0"
"193","Egildor46","WriNk)Ed9844","Eileen","Gildor",,"egildor@hotmail.org","0","1"
"194","Mwormtongue12","m@^lEn1956","Megan","Wormtongue","718-907-2190","mwormtongue5@mailbox.co.uk","1","0"
"195","Pimrahil6246","F@Oppy7706","Pamela","Imrahil","470-885-7199","pimrahil5@mailbox.org","1","0"
"196","Afrodo79","a*SEnalS9667","Adam","Frodo",,"afrodo50@bizmail.org","1","0"
"197","Ceru65","H)rT3303","Claire","Eru",,"ceru44@everymail.net","0","0"
"198","Ktheoden535","a@V#RtisEd3102","Kimberly","Theoden","308-929-7465","ktheoden@everymail.org","0","1"
"199","Bartanis19","C^b%n3120","Beverly","Artanis","425-733-3303","bartanis6@gmail.co.uk","0","0"
"200","Ebracegirdle29","%ifL(3220","Eugene","Bracegirdle",,,"0","0"
"201","Msmeagol678","SEaT$9966","Melanie","Smeagol","706-906-0920","msmeagol57@mailbox.org","0","0"
"202","Rbutterbur1812","au**matiON3731","Randy","Butterbur","562-183-8374","rbutterbur31@gmail.co.uk","1","1"
"203","Sdraugin93","cOmp#siTes7064","Sandra","Draugin","701-054-7967","sdraugin45@yahoo.org","0","1"
"204","Sfeanor2614","@)iN5346","Sylvia","Feanor","802-734-6012","sfeanor65@everymail.com","0","0"
"205","Anazgul3762","Fee!ER6722","Arthur","Nazgul","585-631-0721","anazgul9@yahoo.co.uk","1","0"
"206","Kgandalf68","(pE(taclE7146","Kathy","Gandalf","435-092-9594","kgandalf72@hotmail.biz","0","0"
"207","Aalcarin24","rOS(6774","Ashley","Alcarin","618-464-7722","aalcarin@gmail.biz","1","0"
"208","Aeru76","lac#INg4658","Amy","Eru","763-638-6412","amy.eru@bizmail.us","1","0"
"209","Pcirdan42","$nte$ChaNGeably1774","Patricia","Cirdan","315-420-7858",,"0","0"
"210","Anarvi4947","p*Pp(r4743","Annabelle","Narvi","986-368-6440","annabelle.narvi11@yahoo.com","0","0"
"211","Marwen48","@HITEs2419","Magdalena","Arwen","612-411-1609","marwen82@mail2u.net","1","0"
"212","Lhamfast1977","%Ngages9442","Lara","Hamfast","828-602-7999","lhamfast86@somemail.org","1","0"
"213","Agollum52","scrE)d#ivers3263","Angelica","Gollum","308-295-0738","agollum37@gmail.com","0","1"
"214","Palcarin1775","D@l^nEate9884","Paul","Alcarin","239-364-1634","palcarin3@hotmail.org","1","1"
"215","Athorin65","GRa#itAtE9699","Averie","Thorin","410-517-2516",,"0","0"
"216","Aaule5572","a*#EgEd7936","Averie","Aule","835-821-0564","averie.aule9@somemail.net","0","0"
"217","Eboromir788","^oY2382","Evie","Boromir",,"eboromir@yahoo.org","0","0"
"218","Epippin7133","rIgh%9187","Erik","Pippin","225-659-7625","epippin13@bizmail.us","0","1"
"219","Edwalin4136","Gu^3229","Erik","Dwalin","480-980-3336",,"1","0"
"220","Jimrahil2715","inDulGe(Ce8164","Janice","Imrahil","337-975-4345","jimrahil68@somemail.biz","0","0"
"221","Lmorwen263","$Ta^ing2614","Laura","Morwen","630-681-0907","lmorwen92@everymail.us","0","1"
"222","Aferny4312","f$TefUl9245","Andrew","Ferny","501-344-2163","aferny84@mailbox.us","1","0"
"223","Atreebeard2442","!%Ector2436","Annabelle","Treebeard","747-641-5564","atreebeard@bizmail.us","1","0"
"224","Sgandalf784","!eNAm^7003","Sage","Gandalf",,"sgandalf@hotmail.net","1","0"
"225","Pelessar22","kaTh*6208","Patricia","Elessar","732-144-0226","patricia.elessar@bizmail.com","0","1"
"226","Agaladriel179","mO%I)7506","Andrea","Galadriel","830-800-8113","andrea.galadriel@hotmail.org","1","0"
"227","Serkenbrand25","m^!Y6497","Sasha","Erkenbrand",,"serkenbrand31@mailbox.com","1","1"
"228","Pyavanna59","pRiE*T2001","Patricia","Yavanna","214-728-7108","pyavanna63@mailbox.co.uk","1","0"
"229","Snamo83","^aB!EtS9378","Sharon","Namo","562-334-0434",,"0","1"
"230","Delfhelm9228","fR(eNdlIEr4093","Danica","Elfhelm","865-994-7255","delfhelm75@mailbox.org","0","1"
"231","Mpharazon456","rEaffiR%ed1967","Makenzie","Pharazon","470-397-6734","mpharazon2@bizmail.us","0","0"
"232","Ntelchar775",")^at4242","Nicholas","Telchar","906-085-4546","ntelchar26@gmail.com","0","0"
"233","Hilluvatar4344",")lEthor)2614","Harold","Illuvatar","364-335-4724","hilluvatar47@yahoo.net","1","0"
"234","Acurufinwe47","Te^miNalS2791","Amber","Curufinwe","972-761-7019",,"1","0"
"235","Beru9617","D(mmE^2558","Bruce","Eru",,"beru54@mailbox.com","0","1"
"236","Aelmo2839","^OrnEr2589","Annabelle","Elmo","786-286-4340","aelmo53@mailbox.us","1","0"
"237","Mdior287","gaT#7689","Mason","Dior",,"mdior@mailbox.com","1","1"
"238","Jgrishnakh619","gooD#Es^9605","Jack","Grishnakh","917-847-4112","jgrishnakh@everymail.net","0","0"
"239","Aquickbeam18",")uNglasseS8711","Audrey","Quickbeam","704-681-9968","audrey.quickbeam47@hotmail.co.uk","1","0"
"240","Beol117","%vaLUating7072","Brian","Eol","681-084-9456","beol68@everymail.co.uk","0","1"
"241","Qhelm hammerhand32","SEn(tOr2964","Quinn","Helm Hammerhand","726-433-8206","qhelmhammerhand66@mailbox.co.uk","0","0"
"242","Jbombadil17","*overNinG1766","Jacqueline","Bombadil","840-095-0231",,"0","0"
"243","Smelkor294","hIL!sIde3208","Sophie","Melkor","563-341-5446","smelkor@gmail.us","1","1"
"244","Kidril68","SiGnI@ies2857","Kayla","Idril","434-952-4897",,"1","1"
"245","Camros1486","^%RingS5398","Christina","Amros",,"camros@everymail.co.uk","0","1"
"246","Rbeechbone141","@e#Il7318","Rose","Beechbone","910-738-0634","rbeechbone21@somemail.us","0","1"
"247","Rluthien55","O)iENtaTion3401","Ralph","Luthien","415-008-5842","ralph.luthien23@gmail.co.uk","0","0"
"248","Lgandalf569","nAtur^%ly5415","Lilly","Gandalf",,"lgandalf19@gmail.biz","0","1"
"249","Jelbereth1674","^nDeRlie8306","Jenny","Elbereth",,"jelbereth2@mailbox.co.uk","1","1"
"250","Dkhamul162","QuaShin*8638","David","Khamul","346-501-9836","dkhamul@hotmail.com","1","1"
"251","Mdurin623","^OnsCi!us3584","Melissa","Durin","346-960-0700","mdurin84@everymail.us","1","0"
"252","Lgaladriel76","d@aR!3530","Larissa","Galadriel","205-212-9134","lgaladriel@somemail.co.uk","1","0"
"253","Hnienor497","Sc#lds6384","Hope","Nienor","662-124-0087",,"1","0"
"254","Zsauruman396","gingeRbRe)d8311","Zoey","Sauruman","720-367-6456","zoey.sauruman51@hotmail.net","0","1"
"255","Mhurin14","e)OloG$8899","Melanie","Hurin","657-639-9343","mhurin77@hotmail.co.uk","1","0"
"256","Jbombadil46","beautiful@*9612","Jason","Bombadil","940-327-0787",,"1","0"
"257","Imanwe74","a^propRiatelY4532","Iris","Manwe","512-281-6619",,"0","0"
"258","Ewormtongue566","e@CerPT4731","Edward","Wormtongue",,"ewormtongue37@yahoo.org","1","1"
"259","Lnob3122","b)EtT1257","Lilly","Nob","856-170-3724",,"1","1"
"260","Icarcharoth2472","Ca^etAKers7577","Isaiah","Carcharoth","270-856-6187","isaiah.carcharoth61@hotmail.com","0","1"
"261","Lfatty1436","^ppl#ancE4060","Levi","Fatty","716-545-0497","lfatty57@hotmail.org","0","0"
"262","Sbolger499","!uipS5809","Sage","Bolger","346-713-9238","sbolger38@mailbox.us","1","1"
"263","Jhuor22","aLg$rIA1440","Janice","Huor","502-221-6367",,"0","0"
"264","Aluthien718","inDul%ENc#4767","Ann","Luthien","850-257-8201","aluthien62@hotmail.co.uk","1","0"
"265","Dbolger4417","^aR@EneSs7048","Debra","Bolger","913-092-7173","dbolger18@everymail.co.uk","1","1"
